username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
,2017-04-24,0,1,"WHY ARE QUADCOPTER ROTORS NEVER PROTECTED IN WIRE CAGES ???",,,,"856658711569367040",https://twitter.com/Forthespacemen/status/856658711569367040
,2017-04-24,2,3,"Sometimes u get knocked off ur square u hv 2 find your way back. @TheBudgetnista talks freedom @Google @GeenieBox #BlackWomen &Genius pic.twitter.com/lSzNvc7p6t",,@TheBudgetnista @Google @GeenieBox,#BlackWomen,"856658508317642753",https://twitter.com/TraceyCooperNJ/status/856658508317642753
,2017-04-24,0,1,"Nobody will think that, until skynet goes live.",,,,"856658490588319744",https://twitter.com/GonzoKitchen/status/856658490588319744
,2017-04-24,0,1,"Oh yes, just like Bell telephone was in so many ways. SHATTER IT.",,,,"856658201026203649",https://twitter.com/KevinWalsh1956/status/856658201026203649
,2017-04-24,1,1,"Teaching women around her is how she obtained freedom @TheBudgetnista @GeenieBox @Google #blackwomengenius pic.twitter.com/EQTRcGj3Cr",,@TheBudgetnista @GeenieBox @Google,#blackwomengenius,"856657878228271104",https://twitter.com/reg_inee/status/856657878228271104
,2017-04-24,16,60,"Is @Google a dangerous #monopoly that needs to be shattered?? NOOOO!!! So says @JonathanHoenig on #Kennedy in minutes on @FoxBusiness",,@Google @JonathanHoenig @FoxBusiness,#monopoly #Kennedy,"856657873375506433",https://twitter.com/KennedyNation/status/856657873375506433
,2017-04-24,0,0,"Obrigada @googlemaps por reconhecer meu arduo trabalho de não ter meu celular roubado! @Google thanks pic.twitter.com/SqmbWQieK4",,@googlemaps @Google,,"856657654298660865",https://twitter.com/sfrpaloma_/status/856657654298660865
,2017-04-24,0,0,"You can stream #4K from @Google Play Movies on the Nvidia Shield TV http:// ln.is/weap5 by #DigitalTrends via @c0nvey",,@Google @c0nvey,#4K #DigitalTrends,"856657447385223168",https://twitter.com/PameEchavess/status/856657447385223168
,2017-04-24,0,0,"Hey companies, just so you know, @Google & @facebook are using my browsing history to sell me stuff I already use.",,@Google @facebook,,"856657091590709248",https://twitter.com/crankiefastro/status/856657091590709248
,2017-04-24,0,0,"Well that's bad.",,,,"856657074058657794",https://twitter.com/Rocky_eagle/status/856657074058657794
,2017-04-24,1,2,"did you actually read the profile of this particular Arab who is not happy?",,,,"856656801852534785",https://twitter.com/kishkushkay/status/856656801852534785
,2017-04-24,0,0,"Hey @Google - can we have resizeable folders in the next version of #android ? Thanks :-)",,@Google,#android,"856656786429927424",https://twitter.com/richinsydney/status/856656786429927424
,2017-04-24,11,16,"You can stream #4K from @Google Play Movies on the Nvidia Shield TV http:// bit.ly/2pfbEev",,@Google,#4K,"856656274741645312",https://twitter.com/DigitalTrends/status/856656274741645312
