username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
,2017-04-24,4,4,"What about competitors @facebook and @Microsoft ? The first isn't a competitor - and Slack has years of experience on the latter #ForbesCIO",,@facebook @Microsoft,#ForbesCIO,"856658959582642176",https://twitter.com/ForbesTech/status/856658959582642176
,2017-04-24,0,0,"There's something about me you may not know. I Like To Draw. "Pelón" Day 99 of 365 - #DrawDaily2017Challenge w @SketchableApp @Microsoft @S … pic.twitter.com/6tBW3rLEUh",,@SketchableApp @Microsoft @S,#DrawDaily2017Challenge,"856658265652043776",https://twitter.com/deltatangomike/status/856658265652043776
,2017-04-24,0,0,"Goodbye #MicrosoftExcel ! . @Microsoft has you over a barrel. You buy a "license" from them but then you get a new... http:// fb.me/6j8wQM9uR",,@Microsoft,#MicrosoftExcel,"856657219206742017",https://twitter.com/DarrellWolfe/status/856657219206742017
,2017-04-24,0,0,"Goodbye #MicrosoftExcel ! . @Microsoft has you over a barrel. You buy a "license" from them but then you get a... http:// fb.me/5XOKj91da",,@Microsoft,#MicrosoftExcel,"856656751583776769",https://twitter.com/DarrellWolfe/status/856656751583776769
,2017-04-24,0,0,"2001: @TheJusticeDept sued @Microsoft for forcing their web browser. 2017: @Apple is sued for forcing their map client on #iOS #LetMeChoose",,@TheJusticeDept @Microsoft @Apple,#iOS #LetMeChoose,"856656447349825537",https://twitter.com/montanaharkin/status/856656447349825537
,2017-04-24,0,0,"Bigger Buttons = Easier To Click! Everybody Knows That!",,,,"856656284053106688",https://twitter.com/NewsCenterHQ101/status/856656284053106688
,2017-04-24,0,0,"@Microsoft need a customer service #for your repair center! https:// twitter.com/rolaothman/sta tus/856635903749615621 …",,@Microsoft,#for,"856656273705758720",https://twitter.com/rolaothman/status/856656273705758720
,2017-04-24,0,0,"Yes. Windows 10 OS",,,,"856656032256446465",https://twitter.com/NewsCenterHQ101/status/856656032256446465
,2017-04-24,2,2,"Cloud Solution Architect – National Security @Microsoft Netherlands, Schiphol #Cloud #Security #dotNET http:// ow.ly/S4UU50b3JNY",,@Microsoft,#Cloud #Security #dotNET,"856655658850156544",https://twitter.com/SA_SecurityJobs/status/856655658850156544
,2017-04-24,1,6,"Attn gamers/ #VR addicts: @oculus & @Microsoft launches #eSports tournament for cold hard cash and bragging rights http:// mashable.com/2017/04/24/ocu lus-microsoft-unspoken-esports-tournament/#VkKPSwi9g05o …",,@oculus @Microsoft,#VR #eSports #VkKPSwi9g05o,"856655431812370433",https://twitter.com/EmiliejayG/status/856655431812370433
,2017-04-24,0,1,"Every app & thing I do in #OSX looks great w/ scaled 4K. Thanks @Apple . 1/2 the apps in #Windows10 look awful w/ scaled 4K. GRRR @Microsoft",,@Apple @Microsoft,#OSX #Windows10,"856655355245449216",https://twitter.com/jayunsplanet/status/856655355245449216
,2017-04-24,0,0,"@microsoft Thank You for being the community partner who helps to make seemingly impossible possibilities possibly! #mondaymotivation pic.twitter.com/JHRIUhqwbs",,@microsoft,#mondaymotivation,"856655256373035015",https://twitter.com/dreamhustlecode/status/856655256373035015
,2017-04-24,0,0,"Who knows!",,,,"856655181248958466",https://twitter.com/NewsCenterHQ101/status/856655181248958466
,2017-04-24,0,0,"Yes they do! Try going here: https://www. microsoft.com/store/apps/9wz dncrfj3tj …",,,,"856655049208074242",https://twitter.com/NewsCenterHQ101/status/856655049208074242
,2017-04-24,0,0,"Ummm.... the future is tomorrow...",,,,"856654794223759360",https://twitter.com/NewsCenterHQ101/status/856654794223759360
