username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
jmsd,2017-04-24,,,"T3 Live Daily Recap - Stocks Soar on French Election

http://scalpthatstock.com/daily-recap-stocks-soar-on-french-election/

$SPX $IWM $QQQ $GOOGL $AMZN $FB $BABA $BIDU $TSLA",,,,81022806,
chessNwine,2017-04-24,,,"NEW POST: Stock Market Recap 04/24/17 {Video} http://marketchess.com/2017/04/24/stock-market-recap-04-24-17-video-1  $AMZN $GOOGL $IWM $QQQ $SPY",,,,81021516,
HandDon,2017-04-24,,,"$JCP how come $AMZN can&#39;t out $SHLD for crying out loud!",,,,81021168,
vtradr,2017-04-24,,,"$SPX $SPY $GOOGL $MSFT $AMZN $XOM $T $KO $INTC $MCD $CAT",,,,81020917,
JorelLaraKalel,2017-04-24,,,"Wayfair shares tumble amid report of Amazon furniture push $W $AMZN @wayfair @amazon http://cnb.cx/2oFClGo",,,,81020323,
Gduk,2017-04-24,,,"$AMZN $TGT",,,,81019403,
thechad369,2017-04-24,,,"$AMZN The decision to hold during Amazon ER is literally the biggest stock adrenaline rush you can have lol",,,,81018377,
Estrdr,2017-04-24,,,"$AMZN   This is why Amazon will be 5000 a share. Live shot $TGT  had to get eye drops -",,,,81017794,
GoodNewsBull,2017-04-24,,,"$AMZN You only see Retail on here talking about selling or shorting &amp; making a few bucks then paying 30% tax rate",,,,81017129,
Jackson19,2017-04-24,,,"$AAPL $GOOGL $AMZN $BBRY $MSFT https://www.forbes.com/sites/jaysomaney/2017/04/24/is-apple-intentionally-going-to-delay-the-high-end-iphone-8-launch/#28bf77b56b95",,,,81015842,
locals,2017-04-24,,,"$AMZN this drops even if it beats.",,,,81015089,
the_Joker,2017-04-24,,,"$AMZN see you at 950+ bears",,,,81014750,
locals,2017-04-24,,,"$AMZN did not hit 910 as predicted. Same story tomorrow. Weekly calls will be cheap tomorrow",,,,81014183,
GoodNewsBull,2017-04-24,,,"$AMZN Shorts got $2 today. Bulls who held got $9. When Bears start talking just use Math &amp; Facts. Wins every time :o)",,,,81013495,
TradeLikeElvis,2017-04-24,,,"@long_time_lurker expecting a rotation from big tech into financials in the next 2 weeks. $AAPL $GOOG $FB $AMZN $BAC $GS $JPM $MS $WFC $C",,,,81013179,
Piranic,2017-04-24,,,"$AMZN NOw AMZN s been laggin with EA round the corner. Holding a black swan?",,,,81013062,
Gordon_Gekko_2017,2017-04-24,,,"$SPY $qqq $dia $AMZN $GOOG $SPYV depends on how much you want to lose lol",,,,81013034,
OphirGottlieb,2017-04-24,,,"$AMZN How to Profit from Amazon -- Whether the Stock Goes Up or Down http://bit.ly/AMZN_vol",,,,81012301,
InvestorPlace,2017-04-24,,,"Will Microsoft Corporation (MSFT) Stock Disappoint in Q3 Earnings? $MSFT $GOOGL $AMZN http://investorplace.com/2017/04/will-microsoft-msft-stock-disappoint-in-q3-earnings/",,,,81012033,
the_Joker,2017-04-24,,,"$AMZN I predict up 7% on earnings",,,,81012017,
ETFTrends,2017-04-24,,,"How Amazon is Helping Consumer Discretionary ETFs https://www.etftrends.com/2017/04/how-amazon-is-helping-consumer-discretionary-etfs/ $XLY $FDIS $VCR $XRT $AMZN $IBUY",,,,81011810,
lucyyeslucy,2017-04-24,,,"$AMZN his short didnt work... again. Gee some are bad traders here . Short days before ER BEAT",,,,81010520,
BobbieAxelrod,2017-04-24,,,"$AMZN out at 908.50, see ya!",,,,81010398,
trapitalist,2017-04-24,,,"$AMZN The price is effectively &quot;gasping&quot; for air, which is healthy and may be very indicative of upcoming bullish action.",,,,81010230,
WallStreetBuddy,2017-04-24,,,"$AMZN : Will this be 910+ today?",,,,81010070,
royalhouseofrock,2017-04-24,,,"Advancers: $AMZN, $BCR, $ASML, $GS, $IBB, $SVXY, $AAOI, $SPY. $WDC-Decliners: $SRTY, $AKTX, $MZOR, $W, $ARE, $SOHU, $BDX, $GDXJ, $CYOU",,,,81009857,
WallStPam,2017-04-24,,,"I stream on $AMZN too. What to do with my huge DVD collection.",,,,81009806,
lucyyeslucy,2017-04-24,,,"$AMZN my best advice is to get a 50% bullish position on ER. If it rise youre happy. If it drops you average down with the other 50%",,,,81009682,
GoodNewsBull,2017-04-24,,,"$AMZN Shorts back to sending me hate mail :o) Love it!",,,,81009635,
lucyyeslucy,2017-04-24,,,"$AMZN you sound like a compulsive player on a Las Vegas table playing who knows what game",,,,81009525,
RT2016,2017-04-24,,,"$RAD alternative scenario: $WBA &amp; $FRED call it quit.. only to have $AMZN buy RAD for $10 a share... possible strategic alternative for AMZN",,,,81027014,
simpleplan,2017-04-24,,,"$TSLA $NFLX $AMZN $XOM $MBLY at 60 PE Tesla&#39;s $750 stock",,,,81026912,
