username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
stockrow,2017-04-24,,,"$GOOGL Valuation, profitability and cash flow snapshot https://stockrow.com/GOOGL/snapshots/income $GOOG",,,,81021379,
finzine,2017-04-24,,,"$GOOG Larry Page&#39;s Flying Vehicle; Netflix Raises Capital -- Tech Roundup https://www.thestreet.com/story/14100725/1/larry-page-s-flying-vehicle-netflix-raises-capital-tech-roundup.html?puc=yahoo&amp;cm_ven=YAHOO&amp;yptr=yahoo via https://finzine.com",,,,81021097,
StockInvest_us,2017-04-24,,,"Today $GOOG shows BUY signal (TA) for short term. Technical analysis source: https://goo.gl/h5E3yc",,,,81019869,
sinv,2017-04-24,,,"$GOOG Too bullish here like amazon. WS romance with FANG continues.",,,,81019782,
Offhisgame,2017-04-24,,,"@Skully69er Opticals $OCLR $AAOI $MU $ACAD $OCUL $GOOG $SHOP lithium stocks, industrials, gold on pullbacks, cheap industrials",,,,81017192,
reality2017,2017-04-24,,,"Snapchat: What You Should And Shouldn&#39;t Believe https://seekingalpha.com/article/4064688?source=ansh $SNAP, $FB, $GOOGL, $TWTR, $GOOG",,,,81016228,
finzine,2017-04-24,,,"$GOOG Google parent Alphabet becomes the second $600 billion company http://www.marketwatch.com/News/Story/Story.aspx?guid=22E92E1F-79BC-4DE0-A01C-95B2B53DB0C4&amp;siteid=yhoof2&amp;yptr=yahoo via https://finzine.com",,,,81015515,
stockgains,2017-04-24,,,"$GOOG bought shares during the add controversy. I love when companies get together to slam another great company. Makes it buy time",,,,81015253,
smoosa,2017-04-24,,,"$GOOG  beast mode",,,,81014385,
Piranic,2017-04-24,,,"$GOOG If beat guidance, shld take 900",,,,81014185,
Gordon_Gekko_2017,2017-04-24,,,"$GOOG omg ty the best of the best",,,,81014180,
StocksEarning,2017-04-24,,,"$GOOG releasing Earnings on 4/27 After Close (Confirmed). Anybody buying/selling in Earnings? http://stocksearning.com/q.aspx?Sys=GOOG",,,,81013930,
TradeLikeElvis,2017-04-24,,,"@long_time_lurker expecting a rotation from big tech into financials in the next 2 weeks. $AAPL $GOOG $FB $AMZN $BAC $GS $JPM $MS $WFC $C",,,,81013179,
Gordon_Gekko_2017,2017-04-24,,,"$SPY $qqq $dia $AMZN $GOOG $SPYV depends on how much you want to lose lol",,,,81013034,
TradeLikeElvis,2017-04-24,,,"$BAC nice close! Better than most of it&#39;s peers. Need a non-event tomorrow w/ N. Korea for bigger move in the 10 yr. $SPY $JPM $GS $GOOG $FB",,,,81012906,
lecorb,2017-04-24,,,"Snapchat: What You Should And Shouldn&#39;t Believe https://seekingalpha.com/article/4064688?source=ansh $SNAP, $FB, $GOOGL, $TWTR, $GOOG",,,,81012694,
livestreet,2017-04-24,,,"$GOOG impressive",,,,81011774,
tivoboy,2017-04-24,,,"$GOOG might sell some June 895 calls here at 10$ against half position",,,,81010999,
WallStPam,2017-04-24,,,"After $GOOG reports earnings $AAPL $FB $CMG $TWTR $TSLA is next in line. It&#39;s going to be an exciting few weeks.",,,,81010604,
jerryhung,2017-04-24,,,"$GOOG haven&#39;t seen GOOG this strong without fading for a LONG time. Both AMZN/GOOG were $800 and now $900/$862. Happy",,,,81009487,
WhoTrades,2017-04-24,,,"Will Self-Driving Cars Power Apple (AAPL) to New Highs?
 http://bit.ly/240417AAPL1 $AAPL $GOOG $GOOGL $TSLA $F",,,,81009308,
TradeLikeElvis,2017-04-24,,,"$SPY $AAPL $GOOG $FB $BAC $JPM $GS - earnings have been great. Financials are due for a strong bounce back to highs",,,,81008018,
