username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
Benzinga,2017-04-18,,,"Ballmer Advises Dorsey To Ignore Stock Price, Sees Facebook Pressuring Snap https://benzinga.com/z/9311415 $FB $MSFT $TWTR $SNAP",,,,80447328,
josephmccoy,2017-04-18,,,"What $AMD Ryzen 5 Processor Means In The Semiconductor War w/ $INTC http://www.thesultansofswingtrading.com/2017/04/what-amds-nasdaqamd-new-ryzen-5-desktop.html
$NVDA $MBLY $MSFT $SNE",,,,80446643,
tickerws,2017-04-18,,,"$MSFT to acquire team productivity app maker Intentional Software http://bit.ly/2oIB6a5",,,,80443367,
androsForm,2017-04-18,,,"Opening Lines 04.18.17 @ 10:24 - $SBUX $MSFT [sharpest] $CAH $LYB $RARE",,,,80443082,
jasonmeinero,2017-04-18,,,"$MSFT",,,,80442059,
finzine,2017-04-18,,,"$MSFT Nintendo Confirms NES Classic Discontinuation in Europe, But Leaves The Door... http://www.forbes.com/sites/insertcoin/2017/04/18/nintendo-confirms-nes-classic-discontinuation-in-europe-but-leaves-the-door-open/?utm_source=yahoo&amp;utm_medium=partner&amp;utm_campaign=yahootix&amp;partner=yahootix&amp;yptr=yahoo via https://finzine.com",,,,80442056,
StockNews,2017-04-18,,,"$MSFT Company to acquire Intentional Software; terms not disclosed https://stocknews.com/news/msft-company-to-acquire-intentional-software-terms-not-disclosed/",,,,80440152,
harmongreg,2017-04-18,,,"STO $MSFT May 67.5 Calls for 80c (against long July 62.5 calls)",,,,80439624,
tickerws,2017-04-18,,,"$RMBS Expands Cryogenic Memory Collaboration With $MSFT http://bit.ly/2ok7HC4",,,,80437177,
Benzinga,2017-04-18,,,"Steve Ballmer&#39;s New Project Shows Where Government Money Comes From - And Where It Goes https://benzinga.com/z/9310823 $MSFT $SPY",,,,80432240,
finzine,2017-04-18,,,"$MSFT CHOICE Humanitarian, Microsoft Edge launch program to empower Guatemalan women http://finance.yahoo.com/news/choice-humanitarian-microsoft-edge-launch-131500026.html via https://finzine.com",,,,80432079,
InvestorPlace,2017-04-18,,,"Apple Is Officially Off the Investment Pedestal $AAPL $HPQ $MSFT - http://investorplace.com/2017/04/apple-inc-aapl-stock-is-officially-off-the-investment-pedestal/",,,,80431781,
tickerws,2017-04-18,,,"$MSFT will not be sidelining Windows Mobile, Register reports http://bit.ly/2pvsPsT",,,,80428278,
WhoTrades,2017-04-18,,,"For Microsoft, The VR Game Is Still Afoot http://bit.ly/170417MSFT $MSFT",,,,80426942,
tickerws,2017-04-18,,,"Former CEO says $MSFT well-positioned with cloud products, CNBC reports http://cnb.cx/2oIbagF",,,,80426240,
the_red_adventurer,2017-04-18,,,"$UAA $alk $tsla $nvda $aapl $msft how will theresa mays speech influence todays stock?",,,,80420088,
finzine,2017-04-18,,,"$MSFT Steve Ballmer puts the entire government in a spreadsheet http://www.cnbc.com/id/104407638?__source=yahoo%7Cfinance%7Cheadline%7Cheadline%7Cstory&amp;par=yahoo&amp;doc=104407638&amp;yptr=yahoo via https://finzine.com",,,,80417332,
alexandervaltsev,2017-04-18,,,"Action List for Tuesday, April 18, 2017 https://aff.whotrades.com/t/b/69m38/ $MSFT $TSLA $AMD $CLF $SGYP $SNAP $ARNA $KERX",,,,80416063,
Q42,2017-04-18,,,"$FIT Squeeze to 12+ $FIT by June radar it..  $amd $rsla $nadl $aapl $nflx $msft $ua $twtr $gpro $nike $amzn $grmn $csco $nvda #majorsqueeze",,,,80412350,
