username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
Drtedlem,2017-04-18,,,"$UAL   It will be tested and eventually break",,,,80449959,
PastaGainz_Jr,2017-04-18,,,"$UAL time to break 69.00",,,,80449857,
TheStockPredictor,2017-04-18,,,"$UAL ual has now an image problem. Their Bad customer service will hurt their business",,,,80449838,
stockrow,2017-04-18,,,"$UAL Valuation, profitability and cash flow snapshot https://stockrow.com/UAL/snapshots/income",,,,80449696,
suriNotes,2017-04-18,,,"@imARUN Sorry, thought I attached. Here is $UAL chart",,,,80449388,
Drtedlem,2017-04-18,,,"$UAL  $69  $69  $69  $69  $69  $69  $69  $69  $69  to break soon.",,,,80449300,
kjaz1186,2017-04-18,,,"$UAL an extra $1000 could of save them millions , but can&#39;t fix stupid I guess",,,,80449238,
drn,2017-04-18,,,"$UAL Commit to customer satisfaction drag you put n kill you as instructed. Dr Dao not killed yet . Next passenger killed",,,,80449043,
kjaz1186,2017-04-18,,,"$UAL is it 30 yet?",,,,80448842,
Drtedlem,2017-04-18,,,"$UAL Sounds like UAL thinks it can spend money out of this.",,,,80448596,
kremun,2017-04-18,,,"$UAL yeah right, he dodging the question and say &quot; our sales been great, coorporate been supportive &quot;and say nothing",,,,80448240,
tickerws,2017-04-18,,,"$UAL says committed to returning cash to shareholders",,,,80448200,
es3178,2017-04-18,,,"$UAL Making pretty looking elliot waves down",,,,80448069,
TradeSquawk,2017-04-18,,,"$UAL corporate accts supportive of efforts following floght 3411",,,,80448025,
Connery,2017-04-18,,,"$UAL
52 week high is $76.80
52 week low is $37.41",,,,80447893,
Drtedlem,2017-04-18,,,"$UAL People read through bull shit.",,,,80447866,
kremun,2017-04-18,,,"$UAL just politically correct statement that says nothing.. conference call bull sht",,,,80447607,
toastedcharm,2017-04-18,,,"$UAL almost time to buy more puts",,,,80447299,
markusduvall,2017-04-18,,,"$UAL I guess the scandal is killing the ER momentum.",,,,80446770,
drn,2017-04-18,,,"$UAL Dr Dao friends are heart cardioligezt . They will operate on Oscar soon.",,,,80446142,
suriNotes,2017-04-18,,,"$UAL Rectangle Channel, Targets",,,,80446050,
theflynews,2017-04-18,,,"United CEO says Flight 3411 incident a &#39;humbling learning experience&#39; - $UAL - http://thefly.com/permalinks/entry.php/UALid2535298",,,,80446022,
PastaGainz_Jr,2017-04-18,,,"$UAL funny bull trap",,,,80445908,
Drtedlem,2017-04-18,,,"$UAL Humbling experience was something said a few days ago.",,,,80445887,
tickerws,2017-04-18,,,"$UAL CEO says Flight 3411 incident a &#39;humbling learning experience&#39;",,,,80445713,
Climber,2017-04-18,,,"$UAL Like I said, stock will look string and then tank a week later... Look at the $TGT chart.",,,,80444686,
cubie77,2017-04-18,,,"What difference a day makes $GS and Brexit again have Bears back in control today $Bac $Jpm $Ual $Nvda",,,,80444439,
TheGovernment,2017-04-18,,,"$UAL Looks like they&#39;re trying to save this at 69. Strong support in the past. Favors a bounce here, but we&#39;ll see what happens.",,,,80444115,
SandMan318is,2017-04-18,,,"$UAL sorry to the bulls who fell into that trap yesterday. we tried to warn you. You cant piss off half of china and NOT loose $$",,,,80443494,
kremun,2017-04-18,,,"$UAL conference call started yet?",,,,80443114,
LyraAdvisers,2017-04-18,,,"$UAL nice pump!! The question is can it be sustained? I don&#39;t think so!!",,,,80439988,
MMula534,2017-04-18,,,"$UAL breaks $69 it&#39;s over",,,,80439839,
MMula534,2017-04-18,,,"$UAL  #unitedairlines  falling hard",,,,80439800,
TheWalkingAlgo,2017-04-18,,,"$UAL daily is looking like a bear flag - short this hard",,,,80439302,
AllinCapital,2017-04-18,,,"$UAL I&#39;ll wait bottom right hand corner... #bearish",,,,80439293,
es3178,2017-04-18,,,"$UAL trade triggered on collar, stop-loss hit for call side, here we go puts. With how much stocks have been moving, I&#39;m expecting a big one",,,,80438098,
fastmaster,2017-04-18,,,"$UAL red whole month then they know how to treat their customers with full respects",,,,80437804,
kremun,2017-04-18,,,"$UAL is manipulation finally ends?? this deserve $60",,,,80437249,
fastmaster,2017-04-18,,,"$UAL yeah there you go",,,,80437128,
alpagoode,2017-04-18,,,"$UAL Conceded too quickly yesterday. $70 puts may be in play after all. Should be an interesting week either way. GL all.",,,,80437073,
AskMrOwl,2017-04-18,,,"$UAL I expect the 68 range after the conf call.",,,,80436995,
fastmaster,2017-04-18,,,"$UAL hit $68 eod",,,,80436992,
marti50720,2017-04-18,,,"$UAL u see all the pump on cnbc this is going to 60",,,,80436932,
Drtedlem,2017-04-18,,,"$UAL  I went neutral with a  small negative delta.",,,,80436466,
Pitty,2017-04-18,,,"$UAL Tiiiimmmmmmmmber",,,,80436398,
Connery,2017-04-18,,,"$UAL and once again... retail holds the bag... suckers.",,,,80436256,
Drtedlem,2017-04-18,,,"$UAL  So much much for the idiot that laughing this my first rodeo for earnings.",,,,80436233,
TheStreet,2017-04-18,,,"Stocks Trade Lower as Goldman Sachs Slides After Missing Earnings Forecasts $UAL http://dlvr.it/NwLBSw",,,,80436149,
StockZoner777,2017-04-18,,,"$UAL JetBlue Southwest, safer options",,,,80436136,
PastaGainz_Jr,2017-04-18,,,"$UAL selling bear call spreads on overbloated names at earnings. Winning",,,,80436037,
DDaphne52,2017-04-18,,,"$UAL and the longs here said us bears were dilusional.....smh",,,,80435870,
StockZoner777,2017-04-18,,,"$UAL it is what it is",,,,80435735,
kremun,2017-04-18,,,"$UAL It is only beginning... anyone thinking otherwise please try to bet long..",,,,80435413,
fastmaster,2017-04-18,,,"$UAL investors were waiting for profit till yesterday, and now on they&#39;re gonna out.",,,,80435388,
SamuelR,2017-04-18,,,"$UAL get ready to rise. $75+ EOW",,,,80434222,
eOption,2017-04-18,,,"Morning Preview: 4-18-17

Full Report: http://eopt.io/morni23ce 

$UAL $SNV $COF $UNH $JNJ $NFLX $CUDA $CMA",,,,80432727,
PastaGainz_Jr,2017-04-18,,,"$NFLX $ual $ gs piglets get slaughtered",,,,80432112,
PastaGainz_Jr,2017-04-18,,,"$UAL ruby red",,,,80432050,
kremun,2017-04-18,,,"$UAL conference call going to be brutal.. Prepare your helmet mr munoz",,,,80431992,
StockZoner777,2017-04-18,,,"$UAL http://mashable.com/2017/04/17/united-poll-people-avoid/#.Qw.DUoxjkqg",,,,80431419,
Drtedlem,2017-04-18,,,"$UAL  FSTE down 2%.  ES down 0.36 in the premarket and TF down 0.6%",,,,80429981,
StockZoner777,2017-04-18,,,"$UAL Can&#39;t image being long and feeling totally at ease that current events won&#39;t have negative impact going forward",,,,80429963,
Drtedlem,2017-04-18,,,"$UAL  All the market maker can hope for is that UAL doesn&#39;t drop 5,10,15%.",,,,80429638,
StockZoner777,2017-04-18,,,"$UAL predicting much turbulence in the next 6 months for United",,,,80429391,
briefingcom,2017-04-18,,,"$UAL slightly higher ahead of Q1 call after solid report and encouraging #guidance
https://www.briefing.com/investor/analysis/story-stocks/united-slightly-higher-ahead-of-q1-call-after-solid-report-and-encouraging-guidance.htm #earnings",,,,80429258,
StockZoner777,2017-04-18,,,"$UAL A poll is showing travelers would choose a different airline to fly because of recent incidents",,,,80429210,
JorelLaraKalel,2017-04-18,,,"5 Things You Must Know Before the Market Opens Tuesday http://bit.ly/2pv9d8s http://bit.ly/TTSCUDA $DJIA $QQQ $SPY $NFLX $UAL $GS $BAC",,,,80429207,
Drtedlem,2017-04-18,,,"$UAL GS missed.",,,,80429019,
Drtedlem,2017-04-18,,,"$UAL  Geopolitical issues in Asia with North Korea (possible WAR/conflict).  Can fly.",,,,80429005,
jmsd,2017-04-18,,,"Corporate Earnings Season Is Underway! 

http://scalpthatstock.com/corporate-earnings-season-is-underway/

$GS $UAL $NFLX $BAC $HOG $JNJ $CAH $MDT $ABC &amp; More In Play",,,,80428941,
Drtedlem,2017-04-18,,,"$UAL  French vote too",,,,80428896,
Drtedlem,2017-04-18,,,"$UAL  FTSE dropped almost 2%",,,,80428806,
Drtedlem,2017-04-18,,,"$UAL It&#39;ll bounce around here with 72 as resistance.",,,,80428709,
T1ST,2017-04-18,,,"$UAL the real question is if the problems are already priced in?  WB isn&#39;t a dummy.",,,,80428615,
profitabletrade,2017-04-18,,,"$UAL would imagine stuck around $70 all week.",,,,80428503,
TomIsWrong,2017-04-18,,,"$UAL wait for bottom line to be affected over a quarter&#39;s time, to the ground",,,,80428181,
HighLimit,2017-04-18,,,"$UAL LMFAO at the 82% Red sentiment.  This is Wall St. not Protest St.   Where a fool and his money are soon parted...",,,,80427915,
Drtedlem,2017-04-18,,,"$UAL Was dropping since March 10th.",,,,80427582,
marketchameleonwins,2017-04-18,,,"$UAL Large Increase in Open Interest https://marketchameleon.com/Overview/UAL/OptionSummary/OpenInterest/",,,,80427305,
gbmaxx,2017-04-18,,,"Morning HotList (+PM%) $CAB 7.19 $NFLX 1.19 $GBT 4.48 $GNC 17.13 $IDXG 37.21 $QTNT 11.02 $UAL .68 $BAC 1.4 $AUPH 4.63 $MTFB 1.67 $INFI .46",,,,80427274,
Drtedlem,2017-04-18,,,"$UAL   It is a nice short.",,,,80427107,
anothertrader,2017-04-18,,,"$UAL was nice of it to pop like that so we can get short at a better price",,,,80426167,
DDaphne52,2017-04-18,,,"$UAL going south fast in pre-market #unitedairlines",,,,80426017,
OpenOutcrier,2017-04-18,,,"$UAL (+0.5% pre) United Posts Earnings Beat, CEO Apologizes Once More for Scandal - Zacks

http://ooc.bz/l/11242",,,,80425355,
Drtedlem,2017-04-18,,,"$UAL 82% bearish sentiment.",,,,80424682,
Drtedlem,2017-04-18,,,"$UAL 50 dma crossed below the 100 dma a few days ago.",,,,80424605,
Drtedlem,2017-04-18,,,"$UAL  When the overall market falls, everything goes.",,,,80424436,
TipRanks,2017-04-18,,,"5-star analyst Savanthi Syth from Raymond James reiterated a Buy on $UAL.  https://www.tipranks.com/analysts/savanthi-syth",,,,80424084,
ScoutFinanceAnalyst,2017-04-18,,,"$UAL Q1 2017 Earnings Presentation is now available http://link.scoutfin.com/8gyk/KaM7wghErC",,,,80423833,
ScoutFinanceAnalyst,2017-04-18,,,"$UAL Q1 2017 Earnings Release is now available http://link.scoutfin.com/8gyk/KcwUsSgErC",,,,80423822,
cctranscripts,2017-04-18,,,"United Continental: 1Q 2017 Earnings Call April 18, 2017 UNITEDA STAR ALLIANCE MEMBER   http://www.conferencecalltranscripts.org/8/summary/?id=3696681 $UAL",,,,80419973,
TheStreet,2017-04-18,,,"Stock Futures Retreat as Bank of America Beats Expectations, Geopolitical Concerns Linger $UAL http://dlvr.it/NwHGL3",,,,80419897,
drn,2017-04-18,,,"$UAL did he say i sue you if you drag me out? or talk to my lawyers if you drag me out?",,,,80419389,
drn,2017-04-18,,,"$UAL just kill the doctor like he asked oscar and buffet. you did half the job. you drag him out like he asked. not good service. lol",,,,80419349,
Benzinga,2017-04-18,,,"United, Priceline, Goldman Sachs: Fast Money Picks For April 18 https://benzinga.com/z/9308788 $GS $PCLN $UAL $XLF",,,,80418574,
FishSauce,2017-04-18,,,"$UAL we put the hospital in hospitality",,,,80418377,
FishSauce,2017-04-18,,,"$UAL this is the perfect time to short this pos!  Q2 earnings will not look pretty.",,,,80418303,
TheStreet,2017-04-18,,,"United Airlines&#39; Earnings Get Cheers From Wall Street as Tale of Dragged Passenger Nears an End $UAL http://dlvr.it/NwGT9q",,,,80418288,
Benzinga,2017-04-18,,,"Watch These 4 Huge Put Purchases In Tuesday Trade https://benzinga.com/z/9309065 $CUDA $SLCA $UAL $YELP",,,,80418212,
Benzinga,2017-04-18,,,"10 Stocks To Watch For April 18, 2017 https://benzinga.com/z/9309113 $BAC $GS $HOG $YHOO $NFLX $ISRG $IBM $UAL $UNH $JNJ",,,,80418177,
